Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective October 1, 2024 through December 31, 2024",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q24 ASP data.,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
J2183,Inj meropenem (wg crit care),100 MG,1.617,20.000,,,,,,,
J2184,"Inj, meropenem (b. braun)",100 MG,2.103,9.336,,,,,,Inflation-adjusted coinsurance,
J2185,Meropenem,100 MG,0.354,20.000,,,,,,,
J2210,Methylergonovin maleate inj,0.2 MG,22.436,20.000,,,,,,,
J2247,"Inj, micafungin (par pharm)",1 MG,0.346,20.000,,,,,,,
J2248,Micafungin sodium injection,1 MG,0.285,20.000,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.130,20.000,,,,,,,
J2251,Inj midazolam in 0.9% nacl,1 MG,0.177,20.000,,,,,,,
J2260,Inj milrinone lactate / 5 mg,5 MG,1.413,20.000,,,,,,,
J2267,"Inj, mirikizumab-mrkz, 1 mg",1 MG,39.542,20.000,,,,,,,
J2270,Morphine sulfate injection,10 MG,4.841,20.000,,,,,,,
J2272,"Inj, morphine (fresenius)",10 MG,5.070,20.000,,,,,,,
J2274,Inj morphine pf epid ithc,10 MG,10.463,20.000,,,,,,,
J2277,"Inj, motixafortide, 0.25 mg",0.25 MG,25.218,20.000,,,,,,,
J2278,Ziconotide injection,1 MCG,9.649,20.000,,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,8.734,20.000,,,,,,,
J2281,Inj moxifloxacin (fres kabi),100 MG,7.217,20.000,,,,,,,
J2300,Inj nalbuphine hydrochloride,10 MG,3.614,20.000,,,,,,,
J2305,"Inj, nitroglycerin, 5 mg",5 MG,1.408,20.000,,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,8.731,20.000,,,,,,,
J2311,"Inj, naloxone hcl (zimhi)",1 MG,1.495,20.000,,,,,,,
J2315,"Naltrexone, depot form",1 MG,4.116,20.000,,,,,,,
J2323,Natalizumab injection,1 MG,24.154,20.000,,,,,,,
J2327,Inj risankizumab-rzaa 1 mg,1 MG,14.632,20.000,,,,,,,
J2329,"Inj ublituximab-xiiy, 1 mg",1 MG,69.439,19.969,,,,,,Inflation-adjusted coinsurance,
J2350,"Injection, ocrelizumab, 1 mg",1 MG,59.798,20.000,,,,,,,
J2353,"Octreotide injection, depot",1 MG,214.884,20.000,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,0.863,20.000,,,,,,,
J2356,"Inj tezepelumab-ekko, 1mg",1 MG,18.109,20.000,,,,,,"""lesser of"" methodology applied",
J2357,Omalizumab injection,5 MG,38.293,20.000,,,,,,"""lesser of"" methodology applied",
J2358,Olanzapine long-acting inj,1 MG,2.917,20.000,,,,,,,
J2359,"Inj. olanzapine, 0.5mg",0.5 MG,0.916,20.000,,,,,,,
J2360,Orphenadrine injection,60 MG,8.785,20.000,,,,,,,
J2372,"Inj, biorphen, 20 micrograms",20 MCG,0.171,20.000,,,,,,,
J2373,"Inj, immphentiv, 20 mcg",20 MCG,0.153,20.000,,,,,,,
J2401,Chloroprocaine hcl injection,1 MG,0.028,20.000,,,,,,,
J2403,"Chloroprocaine opht gel, 1mg",1 MG,0.628,20.000,,,,,,,
J2404,"Inj, nicardipine 0.1 mg",1 MG,0.539,20.000,,,,,,Added October 2024,
J2405,Ondansetron hcl injection,1 MG,0.089,20.000,,,,,,,
J2406,"Injection, oritavancin 10 mg",10 MG,42.503,20.000,,,,,,,
J2407,"Injection, oritavancin",10 MG,28.459,20.000,,,,,,,
J2426,"Inj, invega sustenna, 1 mg",1 MG,14.762,20.000,,,,,,,
J2427,"Inj, invega hafyera/trinza",1MG,12.657,20.000,,,,,,,
J2430,Pamidronate disodium /30 mg,30 MG,12.614,20.000,,,,,,,
J2469,Palonosetron hcl,25 MCG,0.616,20.000,,,,,,AMP-based payment limit,
J2501,Paricalcitol,1 MCG,0.756,20.000,,,,,,AMP-based payment limit,
J2506,Inj pegfilgrast ex bio 0.5mg,0.5 MG,31.144,20.000,,,,,,,
J2507,Pegloticase injection,1 MG,3482.154,19.968,,,,,,Inflation-adjusted coinsurance,
J2508,Pegunigalsidase alfa-iwxj,1 MG,223.547,20.000,,,,,,Added October 2024,
J2540,Penicillin g potassium inj,600000 UNITS,1.013,20.000,,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,1.102,20.000,,,,,,,
J2545,Pentamidine non-comp unit,300 MG,85.531,20.000,,,,,,,
J2550,Promethazine hcl injection,50 MG,3.312,20.000,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,31.378,20.000,,,,,,,
J2562,Plerixafor injection,1 MG,50.471,20.000,,,,,,,
J2597,Inj desmopressin acetate,1 MCG,5.420,20.000,,,,,,,
J2598,"Inj, vasopressin, 1 unit",1 UNIT,1.619,20.000,,,,,,,
J2599,Inj vasopressin (am reg) 1 u,1 UNIT,1.327,20.000,,,,,,,
J2675,Inj progesterone per 50 mg,50 MG,0.726,20.000,,,,,,,
J2679,Inj fluphenazine hcl 1.25 mg,1.25 MG,7.349,20.000,,,,,,,
J2680,Fluphenazine decanoate 25 mg,25 MG,10.209,20.000,,,,,,,
J2690,Procainamide hcl injection,1 GM,546.066,20.000,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,0.867,20.000,,,,,,,
J2704,"Inj, propofol, 10 mg",10 MG,0.089,20.000,,,,,,,
J2720,Inj protamine sulfate/10 mg,10 MG,1.077,20.000,,,,,,,
J2724,Protein c concentrate,10 UNITS,15.052,20.000,,,,,,,
J2760,Phentolaine mesylate inj,5 MG,367.121,20.000,,,,,,,
J2765,Metoclopramide hcl injection,10 MG,0.994,20.000,,,,,,,
J2777,"Inj, faricimab-svoa, 0.1mg",0.1 MG,34.247,20.000,,,,,,,
J2778,Ranibizumab injection,0.1 mg,137.136,20.000,,,,,,,
J2779,"Inj, susvimo 0.1 mg",0.1 MG,79.080,20.000,,,,,,,
J2781,"Inj, pegcetacoplan, 1mg",1 MG,147.356,20.000,,,,,,,
J2782,Inj avacincaptad pegol 0.1mg,0.1 MG,109.528,20.000,,,,,,,
J2783,Rasburicase,0.5 MG,371.293,20.000,,,,,,,
J2785,Regadenoson injection,0.1 MG,2.880,20.000,,,,,,,
J2786,"Injection, reslizumab, 1mg",1 MG,10.311,20.000,,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),24.038,20.000,,,,,,,
J2790,Rho d immune globulin inj,300 MCG (1500 IU),80.139,20.000,,,,,,,
J2791,Rhophylac injection,100 IU,4.798,20.000,,,,,,,
J2792,"Rho(d) immune globulin h, sd",100 IU,34.336,20.000,,,,,,,
J2794,"Inj risperdal consta, 0.5 mg",0.5 MG,11.299,20.000,,,,,,,
J2795,Ropivacaine hcl injection,1 MG,0.062,20.000,,,,,,,
J2796,Romiplostim injection,10 MCG,101.052,19.524,,,,,,Inflation-adjusted coinsurance,
J2798,"Inj., perseris, 0.5 mg",0.5 mg,12.190,20.000,,,,,,,
J2799,"Inj, uzedy, 1 mg",1 MG,24.766,20.000,,,,,,,
J2800,Methocarbamol injection,10 ML,7.253,20.000,,,,,,,
J2805,Sincalide injection,5 MCG,123.618,20.000,,,,,,,
J2820,Sargramostim injection,50 MCG,60.275,19.692,,,,,,Inflation-adjusted coinsurance,
J2860,"Injection, siltuximab",10 MG,157.072,18.608,,,,,,Inflation-adjusted coinsurance,
J2916,Na ferric gluconate complex,12.5 MG,2.190,20.000,,,,,,,
J2919,"Inj, methylpred sod succ 5mg",5 MG,0.304,20.000,,,,,,,
J2997,Alteplase recombinant,1 MG,91.470,20.000,,,,,,,
J3000,Streptomycin injection,1 GM,32.745,20.000,,,,,,,
J3010,Fentanyl citrate injection,0.1 MG,0.903,20.000,,,,,,,
J3032,Inj. eptinezumab-jjmr 1 mg,1 MG,18.693,20.000,,,,,,,
J3055,Inj talquetamab-tgvs 0.25 mg,0.25 MG,67.652,20.000,,,,,,,
J3060,"Inj, taliglucerase alfa 10 u",10 UNITS,42.581,20.000,,,,,,,
J3090,Inj tedizolid phosphate,1 MG,1.809,20.000,,,,,,,
J3095,Telavancin injection,10 MG,6.377,20.000,,,,,,,
J3101,Tenecteplase injection,1 MG,157.724,20.000,,,,,,,
J3105,Terbutaline sulfate inj,1 MG,2.267,20.000,,,,,,,
J3111,Inj. romosozumab-aqqg 1 mg,1 MG,11.170,19.973,,,,,,Inflation-adjusted coinsurance,
J3121,Inj testostero enanthate 1mg,1 MG,0.051,20.000,,,,,,,
J3145,Testosterone undecanoate 1mg,1 MG,1.946,19.304,,,,,,Inflation-adjusted coinsurance,
J3230,Chlorpromazine hcl injection,50 MG,27.710,20.000,,,,,,,
J3240,Thyrotropin injection,0.9 MG,2073.341,20.000,,,,,,,
J3241,Inj. teprotumumab-trbw 10 mg,10 MG,343.885,20.000,,,,,,,
J3243,Tigecycline injection,1 MG,0.522,20.000,,,,,,,
J3245,"Inj., tildrakizumab, 1 mg",1 MG,135.923,20.000,,,,,,,
J3246,Tirofiban hcl,0.25 MG,3.826,20.000,,,,,,,
J3247,Inj secukinumab intrav 1mg,1 MG,17.541,20.000,,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,51.229,19.049,,,,,,Inflation-adjusted coinsurance,
J3260,Tobramycin sulfate injection,80 MG,2.270,20.000,,,,,,,
J3262,Tocilizumab injection,1 MG,5.962,20.000,,,,,,,
J3263,"Inj, toripalimab-tpzi, 1 mg",1 MG,38.867,20.000,,,,,,,
J3285,Treprostinil injection,1 MG,55.815,20.000,,,,,,,
J3299,Inj xipere 1 mg,1 MG,48.399,20.000,,,,,,,
J3301,Triamcinolone acet inj nos,10 MG,0.902,20.000,,,,,,,
J3304,Inj triamcinolone ace xr 1mg,1 MG,17.746,20.000,,,,,,,
J3315,Triptorelin pamoate,3.75 MG,466.727,20.000,,,,,,,
J3357,"Ustekinumab sub cu inj, 1 mg",1 MG,159.913,20.000,,,,,,,
J3358,"Ustekinumab, iv inject, 1 mg",1 MG,12.967,20.000,,,,,,,
J3360,Diazepam injection,5 MG,5.831,20.000,,,,,,,
J3370,Vancomycin hcl injection,500 MG,2.164,20.000,,,,,,,
J3371,"Inj, vancomycin hcl (mylan)",500 MG,5.672,20.000,,,,,,,
J3372,"Inj, vancomycin hcl (xellia)",500 MG,6.417,20.000,,,,,,,
J3380,Inj vedolizumab iv 1 mg,1 MG,22.260,20.000,,,,,,,
J3385,Velaglucerase alfa,100 UNITS,370.200,20.000,,,,,,,
J3396,Verteporfin injection,0.1 MG,11.534,20.000,,,,,,,
J3401,"Vyjuvek 5x10^9pfu/ml, 0.1 ml",0.1 ML,996.961,20.000,,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,12.405,20.000,,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,1.786,20.000,,,,,,,
J3415,Pyridoxine hcl 100 mg,100 MG,17.643,20.000,,,,,,,
J3420,Vitamin b12 injection,1000 MCG,1.149,20.000,,,,,,,
J3425,Hydroxocobalamin im 10mcg,10 MCG,0.008,20.000,,,,,,Added October 2024,
J3430,Vitamin k phytonadione inj,1 MG,2.511,20.000,,,,,,,
J3465,"Injection, voriconazole",10 MG,0.776,20.000,,,,,,,
J3473,Hyaluronidase recombinant,1 USP UNIT,0.365,20.000,,,,,,,
J3475,Inj magnesium sulfate,500 MG,0.467,20.000,,,,,,,
J3480,Inj potassium chloride,2 MEQ,0.105,20.000,,,,,,,
J3485,Zidovudine,10 MG,1.512,20.000,,,,,,,
J3486,Ziprasidone mesylate,10 MG,7.432,20.000,,,,,,,
J3489,Zoledronic acid 1mg,1 MG,6.472,20.000,,,,,,,
J7030,Normal saline solution infus,1000 CC,2.567,20.000,,,,,,,
J7040,Normal saline solution infus,500 ML,1.283,20.000,,,,,,,
J7042,5% dextrose/normal saline,500 ML,1.142,20.000,,,,,,,
J7050,Normal saline solution infus,250 CC,0.642,20.000,,,,,,,
J7060,5% dextrose/water,500 ML,1.824,20.000,,,,,,,
J7070,D5w infusion,1000 CC,3.647,20.000,,,,,,,
J7120,Ringers lactate infusion,1000 CC,2.420,20.000,,,,,,,
J7170,"Inj., emicizumab-kxwh 0.5 mg",0.5 MG,52.820,20.000,,,,,1,,
J7171,"Inj, adzynma, 10 iu",10 UNITS,34.597,20.000,,,,,,,
J7175,"Inj, factor x, (human), 1iu",1 IU,9.112,20.000,,,,,1,,
J7177,"Inj., fibryga, 1 mg",1 MG,1.112,20.000,,,,,1,,
J7178,Inj human fibrinogen con nos,1 MG,1.446,20.000,,,,,1,,
J7179,Vonvendi inj 1 iu vwf:rco,1 IU,1.871,20.000,,,,,1,,
J7180,Factor xiii anti-hem factor,1 IU,10.159,20.000,,,,,1,,
J7181,Factor xiii recomb a-subunit,1 IU,17.256,20.000,,,,,1,,
J7182,Factor viii recomb novoeight,1 IU,1.378,20.000,,,,,1,,
J7183,Wilate injection,1 I.U. VWF:RCO,1.280,20.000,,,,,1,,
J7185,Xyntha inj,1 IU,1.483,20.000,,,,,1,,
J7186,Antihemophilic viii/vwf comp,PER FACTOR VIII IU,1.225,20.000,,,,,1,,
J7187,"Humate-p, inj",1 IU,1.395,20.000,,,,,1,,
J7188,Factor viii recomb obizur,1 IU,3.221,20.000,,,,,1,,
J7189,Factor viia recomb novoseven,1 MCG,2.517,20.000,,,,,1,,
J7190,Factor viii,1 IU,1.171,20.000,,,,,1,,
J7192,Factor viii recombinant nos,1 IU,1.548,20.000,,,,,1,,
J7193,Factor ix non-recombinant,1 IU,1.409,20.000,,,,,1,,
J7194,Factor ix complex,1 IU,1.652,20.000,,,,,1,,
J7195,Factor ix recombinant nos,1 IU,1.852,20.000,,,,,1,,
J7197,Antithrombin iii injection,1 IU,3.853,20.000,,,,,,,
J7198,Anti-inhibitor,1 IU,2.344,20.000,,,,,1,,
J7200,Factor ix recombinan rixubis,1 IU,1.674,20.000,,,,,1,,
J7201,Factor ix alprolix recomb,1 IU,3.591,20.000,,,,,1,,
J7202,Factor ix idelvion inj,1 IU,5.053,20.000,,,,,1,,
J7203,Factor ix recomb gly rebinyn,1 IU,4.565,20.000,,,,,1,,
J7204,Inj recombin esperoct per iu,1 IU,2.168,20.000,,,,,1,,
J7205,Factor viii fc fusion recomb,1 IU,2.344,20.000,,,,,1,,
J7207,Factor viii pegylated recomb,1 IU,2.095,20.000,,,,,1,,
J7208,Inj. jivi 1 iu,1 IU,2.440,20.000,,,,,1,,
J7209,Factor viii nuwiq recomb 1iu,1 IU,1.244,20.000,,,,,1,,
J7210,"Inj, afstyla, 1 i.u.",1 IU,1.460,20.000,,,,,1,,
J7211,"Inj, kovaltry, 1 i.u.",1 IU,1.477,20.000,,,,,1,,
J7212,Factor viia recomb sevenfact,1 MCG,2.296,20.000,,,,,1,,
J7213,"Inj, ixinity, 1 i.u.",1 IU,1.809,20.000,,,,,1,,
J7214,Altuviiio per factor viii iu,1 IU,4.694,20.000,,,,,1,,
J7308,Aminolevulinic acid hcl top,354 MG,396.972,20.000,,,,,,,
J7311,"Inj., retisert, 0.01 mg",0.01 MG,333.480,20.000,,,,,,,
J7312,Dexamethasone intra implant,0.1 MG,205.622,20.000,,,,,,,
J7313,"Inj., iluvien, 0.01 mg",0.01 MG,495.384,20.000,,,,,,,
J7314,"Inj., yutiq, 0.01 mg",0.01 MG,527.972,20.000,,,,,,,
J7318,"Inj, durolane 1 mg",1 MG,6.999,20.000,,,,,,,
J7320,"Genvisc 850, inj, 1mg",1 MG,5.896,20.000,,,,,,,
J7321,Hyalgan supartz visco-3 dose,per dose,73.222,20.000,,,,,,,
J7322,Hymovis injection 1 mg,1 MG,17.448,20.000,,,,,,,
J7323,Euflexxa inj per dose,per dose,121.312,20.000,,,,,,,
J7324,Orthovisc inj per dose,PER DOSE,122.913,20.000,,,,,,,
J7325,Synvisc or synvisc-one,1 MG,9.155,20.000,,,,,,,
J7326,Gel-one,per dose,534.483,20.000,,,,,,,
J7327,Monovisc inj per dose,PER DOSE,683.165,20.000,,,,,,,
J7328,Gelsyn-3 injection 0.1 mg,0.1 MG,0.576,20.000,,,,,,,
J7329,"Inj, trivisc 1 mg",1 MG,6.665,20.000,,,,,,,
J7331,"Synojoynt, inj., 1 mg",1 MG,9.575,20.000,,,,,,,
J7332,"Inj., triluron, 1 mg",1 MG,10.356,20.000,,,,,,,
J7336,Capsaicin 8% patch,1 SQ CM,3.325,20.000,,,,,,,
J7340,Carbidopa levodopa ent 100ml,100 ML,235.060,20.000,,,,,,,
J7345,"Aminolevulinic acid, 10% gel",10 MG,1.724,20.000,,,,,,,
J7351,Inj bimatoprost itc imp1mcg,1 MCG,209.861,20.000,,,,,,,
J7354,"Cantharidin top, applicator",Per 3.2 mg single-use applicator,711.753,20.000,,,,,,,
J7402,Mometasone sinus sinuva,10 MCG,11.345,20.000,,,,,,,
J7500,Azathioprine oral 50mg,50 MG,1.616,20.000,,,,,,,
J7502,Cyclosporine oral 100 mg,100 MG,2.387,20.000,,,,,,,
J7503,Tacrol envarsus ex rel oral,0.25 MG,1.767,19.930,,,,,,Inflation-adjusted coinsurance,
J7504,Lymphocyte immune globulin,250 MG,3968.446,14.270,,,,,,Inflation-adjusted coinsurance,
J7507,Tacrolimus imme rel oral 1mg,1 MG,0.255,20.000,,,,,,,
J7508,Tacrol astagraf ex rel oral,0.1 MG,0.567,20.000,,,,,,,
J7509,Methylprednisolone oral,4 MG,0.244,20.000,,,,,,,
J7510,Prednisolone oral per 5 mg,5 MG,0.386,20.000,,,,,,,
J7511,Antithymocyte globuln rabbit,25 MG,956.739,20.000,,,,,,,
J7512,Prednisone ir or dr oral 1mg,1 MG,0.005,20.000,,,,,,,
J7515,Cyclosporine oral 25 mg,25 MG,0.847,20.000,,,,,,,
J7517,Mycophenolate mofetil oral,250 MG,0.175,20.000,,,,,,,
J7518,Mycophenolic acid,180 MG,0.442,20.000,,,,,,,
J7519,Inj. mycophenolate mofetil,10 MG,0.517,20.000,,,,,,,
J7520,"Sirolimus, oral",1 MG,1.327,20.000,,,,,,,
J7525,Tacrolimus injection,5 MG,254.775,20.000,,,,,,,
J7527,Oral everolimus,0.25 MG,2.206,20.000,,,,,,,
J7605,Arformoterol non-comp unit,15 mcg,0.682,20.000,,,,,,,
J7606,"Formoterol fumarate, inh",20 MCG,2.381,20.000,,,,,,,
J7608,Acetylcysteine non-comp unit,1 GM,7.772,20.000,,,,,,,
J7611,Albuterol non-comp con,1 MG,0.181,20.000,,,,,,,
J7612,Levalbuterol non-comp con,0.5 MG,0.233,20.000,,,,,,,
J7613,Albuterol non-comp unit,1 MG,0.071,20.000,,,,,,,
J7614,Levalbuterol non-comp unit,0.5 MG,0.080,20.000,,,,,,,
J7620,Albuterol ipratrop non-comp,2.5 MG/0.5 MG,0.185,20.000,,,,,,,
J7626,Budesonide non-comp unit,0.5 MG,1.229,20.000,,,,,,,
J7631,Cromolyn sodium noncomp unit,10 MG,0.437,20.000,,,,,,,
J7639,Dornase alfa non-comp unit,1 MG,53.478,20.000,,,,,,,
J7644,Ipratropium bromide non-comp,1 MG,0.363,20.000,,,,,,,
J7674,"Methacholine chloride, neb",1 MG,1.552,20.000,,,,,,,
J7677,Revefenacin inh non-com 1mcg,1 MCG,0.186,20.000,,,,,,,
J7682,Tobramycin non-comp unit,300 MG,15.952,20.000,,,,,,,
J7686,"Treprostinil, non-comp unit", 1.74 MG,760.235,20.000,,,,,,,
J8501,Oral aprepitant,5 MG,3.273,20.000,,,,,,,
J8522,"Capecitabine, oral, 50 mg",50 MG,0.064,20.000,,,,,,Added October 2024,
J8530,Cyclophosphamide oral 25 mg,25 MG,0.883,20.000,,,,,,,
J8540,Oral dexamethasone,0.25 MG,0.041,20.000,,,,,,,
J8560,Etoposide oral 50 mg,50 MG,76.664,20.000,,,,,,,
J8610,Methotrexate oral 2.5 mg,2.5 MG,0.224,20.000,,,,,,,
J8655,"Oral netupitant, palonosetro",0.5 MG,400.242,18.953,,,,,,Inflation-adjusted coinsurance,
J8670,"Rolapitant, oral, 1mg",1 MG,1.583,20.000,,,,,,,
J8700,Temozolomide,5 MG,0.265,20.000,,,,,,,
J8705,Topotecan oral,0.25 mg,124.860,20.000,,,,,,,
J9000,Doxorubicin hcl injection,10 MG,3.302,20.000,,,,,,,
J9017,Arsenic trioxide injection,1 MG,7.199,20.000,,,,,,,
J9021,"Inj, aspara, rylaze, 0.1 mg",0.1 MG,52.788,19.986,,,,,,Inflation-adjusted coinsurance,
J9022,"Inj, atezolizumab,10 mg",10 MG,86.242,20.000,,,,,,,
J9023,"Injection, avelumab, 10 mg",10 MG,95.176,20.000,,,,,,,
J9025,Azacitidine injection,1 MG,0.320,20.000,,,,,,,
J9027,Clofarabine injection,1 MG,14.377,20.000,,,,,,,
J9029,"Instill adstiladrin, tx dose",PER THERAPEUTIC DOSE,63354.773,20.000,,,,,,,
J9030,Bcg live intravesical 1mg,1 MG,2.991,20.000,,,,,,,
J9032,"Injection, belinostat, 10mg",10 MG,50.088,20.000,,,,,,,
J9033,"Inj., treanda 1 mg",1 MG,5.431,20.000,,,,,,,
J9034,"Inj., bendeka 1 mg",1 MG,12.946,20.000,,,,,,,
J9035,Bevacizumab injection,10 MG,72.704,20.000,,,,,,,
J9039,"Injection, blinatumomab",1 MCG,152.178,19.262,,,,,,Inflation-adjusted coinsurance,
J9040,Bleomycin sulfate injection,15 UNITS,24.684,20.000,,,,,,,
J9041,"Injection, bortezomib, 0.1mg",0.1 MG,1.572,20.000,,,,,,,
J9042,Brentuximab vedotin inj,1 MG,239.856,18.907,,,,,,Inflation-adjusted coinsurance,
J9043,Cabazitaxel injection,1 MG,216.455,20.000,,,,,,,
J9045,Carboplatin injection,50 MG,3.400,20.000,,,,,,,
J9047,"Injection, carfilzomib, 1 mg",1 MG,49.577,19.575,,,,,,Inflation-adjusted coinsurance,
J9049,"Inj, bortezomib, hospira",0.1 MG,1.494,20.000,,,,,,,
J9050,Carmustine injection,100 MG,330.871,20.000,,,,,,,
J9055,Cetuximab injection,10 MG,75.479,20.000,,,,,,,
J9056,"Inj, bendamustine, 1 mg",1 MG,27.844,20.000,,,,,,,
J9058,Inj apotex/bendamustine 1 mg,1 MG,15.217,20.000,,,,,,AMP-based payment limit,
J9059,"Inj bendamustine, baxter 1mg",1 MG,15.217,20.000,,,,,,AMP-based payment limit,
J9060,Cisplatin 10 mg injection,10 MG,2.371,20.000,,,,,,,
J9061,"Inj, amivantamab-vmjw",2 MG,20.673,19.895,,,,,,Inflation-adjusted coinsurance,
J9063,"Inj, elahere, 1 mg",1 MG,66.758,20.000,,,,,,,
J9065,Inj cladribine per 1 mg,1 MG,14.245,20.000,,,,,,,
J9071,Inj cyclophosphamd auromedic,5 MG,1.160,20.000,,,,,,,
J9073,Inj cyclophosphamd (ingenus),5 MG,0.925,20.000,,,,,,,
J9075,"Inj, cyclophosphamide, nos",5 MG,1.010,20.000,,,,,,,
J9100,Cytarabine hcl 100 mg inj,100 MG,0.771,20.000,,,,,,,
J9118,Inj. calaspargase pegol-mknl,10 UNIT,76.527,20.000,,,,,,,
J9119,"Inj., cemiplimab-rwlc, 1 mg",1 MG,28.240,20.000,,,,,,,
J9120,Dactinomycin injection,0.5 MG,282.133,20.000,,,,,,,
J9130,Dacarbazine 100 mg inj,100 MG,4.269,20.000,,,,,,,
J9144,"Daratumumab, hyaluronidase",10 MG,51.411,20.000,,,,,,,
J9145,"Injection, daratumumab 10 mg",10 MG,65.117,20.000,,,,,,,
J9150,Daunorubicin injection,10 MG,24.436,20.000,,,,,,,
J9153,"Inj daunorubicin, cytarabine",1 MG/2.27 MG,242.495,20.000,,,,,,,
J9155,Degarelix injection,1 MG,4.176,20.000,,,,,,,
J9171,Docetaxel injection,1 MG,0.791,20.000,,,,,,,
J9173,"Inj., durvalumab, 10 mg",10 MG,81.815,20.000,,,,,,,
J9176,"Injection, elotuzumab, 1mg",1 MG,7.578,20.000,,,,,,,
J9177,Inj enfort vedo-ejfv 0.25mg,0.25 MG,36.741,18.963,,,,,,Inflation-adjusted coinsurance,
J9178,"Inj, epirubicin hcl, 2 mg",2 MG,1.622,20.000,,,,,,,
J9179,Eribulin mesylate injection,0.1 MG,135.785,20.000,,,,,,,
J9181,Etoposide injection,10 MG,1.373,20.000,,,,,,,
J9185,Fludarabine phosphate inj,50 MG,134.154,20.000,,,,,,,
J9190,Fluorouracil injection,500 MG,2.394,20.000,,,,,,,
J9196,Inj gemcitabine hcl (accord),200 MG,8.523,11.181,,,,,,Inflation-adjusted coinsurance,
J9200,Floxuridine injection,500 MG,3858.031,20.000,,,,,,,
J9201,In gemcitabine hcl nos 200mg,200 MG,2.794,20.000,,,,,,,
J9202,Goserelin acetate implant,3.6 MG,674.772,18.888,,,,,,Inflation-adjusted coinsurance,
J9203,Gemtuzumab ozogamicin 0.1 mg,0.1 MG,229.674,20.000,,,,,,,
J9204,"Inj mogamulizumab-kpkc, 1 mg",1 MG,238.848,20.000,,,,,,,
J9205,Inj irinotecan liposome 1 mg,1 MG,64.765,20.000,,,,,,,
J9206,Irinotecan injection,20 MG,2.498,20.000,,,,,,,
J9207,Ixabepilone injection,1 MG,134.057,20.000,,,,,,,
J9208,Ifosfamide injection,1 GM,24.924,20.000,,,,,,,
J9209,Mesna injection,200 MG,1.889,20.000,,,,,,,
J9210,"Inj., emapalumab-lzsg, 1 mg",1 MG,378.029,20.000,,,,,,,
J9211,Idarubicin hcl injection,5 MG,46.712,20.000,,,,,,,
J9217,Leuprolide acetate suspnsion,7.5 MG,176.510,20.000,,,,,,,
J9218,Leuprolide acetate injeciton,1 MG,9.204,20.000,,,,,,,
J9223,"Inj. lurbinectedin, 0.1 mg",0.1 MG,203.604,20.000,,,,,,,
J9226,Supprelin la implant,50 MG,45350.216,20.000,,,,,,,
J9227,Inj. isatuximab-irfc 10 mg,10 MG,78.049,20.000,,,,,,,
J9228,Ipilimumab injection,1 MG,176.884,20.000,,,,,,,
J9229,Inj inotuzumab ozogam 0.1 mg,0.1 MG,2618.847,20.000,,,,,,,
J9245,Inj melpha hydroch nos 50 mg,50 MG,153.536,20.000,,,,,,,
J9246,"Inj., evomela, 1 mg",1 MG,17.351,20.000,,,,,,,
J9260,Inj methotrexate sodium 50mg,50 MG,2.723,20.000,,,,,,,
J9261,Nelarabine injection,50 MG,72.527,20.000,,,,,,,
J9263,Oxaliplatin,0.5 MG,0.062,20.000,,,,,,,
J9264,Paclitaxel protein bound,1 MG,13.344,20.000,,,,,,,
J9266,Pegaspargase injection,1 EA,27070.534,19.079,,,,,,Inflation-adjusted coinsurance,
J9267,Paclitaxel injection,1 MG,0.101,20.000,,,,,,,
J9268,Pentostatin injection,10 MG,2541.774,18.590,,,,,,Inflation-adjusted coinsurance,
J9269,Inj. tagraxofusp-erzs 10 mcg,10 MCG,339.034,20.000,,,,,,,
J9271,Inj pembrolizumab,1 MG,58.216,20.000,,,,,,,
J9272,"Inj, dostarlimab-gxly, 10 mg",10 MG,236.402,20.000,,,,,,,
J9273,"Inj tisotu vedotin-tftv, 1mg",1 MG,181.598,19.471,,,,,,Inflation-adjusted coinsurance,
J9274,"Inj, tebentafusp-tebn, 1 mcg",1 MCG,214.756,20.000,,,,,,,
J9280,Mitomycin injection,5 MG,42.505,20.000,,,,,,,
