6/18/2024:
80661-0010-01:	1p1cpee -> 8y356xa	Aluminum sesquichlorohydrate 37500 mg Bottle [Myhealth Mood Care Unissex] 	37500 mg
70121-1627-01:	k1wse70 -> rt5qtbp	0.6 mL pegfilgrastim-pbbk 10 mg/mL Prefilled Syringe [Fylnetra] 	6 mg
80644-0012-01:	k41qakv -> 4n2708r	Dasiglucagon 0.6 mg Syringe [Zegalogue] 	0.6 mg
80644-0012-02:	k41qakv -> 4n2708r	Dasiglucagon 0.6 mg Syringe [Zegalogue] 	0.6 mg
80644-0013-01:	k41qakv -> 4n2708r	Dasiglucagon 0.6 mg Syringe [Zegalogue] 	0.6 mg
80644-0013-02:	k41qakv -> 4n2708r	Dasiglucagon 0.6 mg Syringe [Zegalogue] 	0.6 mg
62935-0163-60:	k6h47fn -> rg8bv1z	0.375 mL leuprolide acetate 120 mg/mL Prefilled Syringe [Fensolvi] 	45 mg
00009-5181-01:	keb46bk -> ypzennq	0.5 mL alprostadil 0.02 mg/mL Prefilled Syringe [Caverject] 	0.01 mg
63539-0121-11:	keb46bk -> ypzennq	0.5 mL alprostadil 0.02 mg/mL Prefilled Syringe [Caverject] 	0.01 mg
00006-4826-00:	kmd0h1z -> m7gzcrk	0.5 mL varicella-zoster virus vaccine live (Oka-Merck) strain 2700 UNT/mL Vial [Varivax] 	1350 [PFU]
00006-4827-00:	kmd0h1z -> m7gzcrk	0.5 mL varicella-zoster virus vaccine live (Oka-Merck) strain 2700 UNT/mL Vial [Varivax] 	1350 [PFU]
00264-5705-10:	kqaqgz6 -> k5gdsb5	Heparin sodium 5000 [USP'U] Syringe 	5000 [USP'U]
00641-6204-10:	kqaqgz6 -> k5gdsb5	Heparin sodium 5000 [USP'U] Syringe 	5000 [USP'U]
63323-0118-05:	kqaqgz6 -> k5gdsb5	Heparin sodium 5000 [USP'U] Syringe 	5000 [USP'U]
71288-0405-81:	kqaqgz6 -> k5gdsb5	Heparin sodium 5000 [USP'U] Syringe 	5000 [USP'U]
49281-0915-01:	kwg0ak1 -> n3vqb1s	0.5 mL yellow fever virus strain 17D-204 live antigen 4000 UNT/mL Vial [YF-Vax] 	4.74 [PFU]
51662-1321-01:	m7xfx5x -> 9c0r9kp	NDA201739 0.15 mL epinephrine 1 mg/mL Auto-Injector [Auvi-Q] 	0.15 mg
00006-4329-02:	mc8fz71 -> 264fe2b	0.5 mL Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 22F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 33F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.008 mg/mL / Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL Prefilled Syringe [Vaxneuvance] 	0.03; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0 mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg
00006-4329-03:	mc8fz71 -> 264fe2b	0.5 mL Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 22F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 33F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.008 mg/mL / Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL / Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine 0.004 mg/mL Prefilled Syringe [Vaxneuvance] 	0.03; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0 mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg
00002-3182-61:	md04fmp -> d0fyd0r	0.5 mL dulaglutide 9 mg/mL Auto-Injector [Trulicity] 	4.5 mg
00002-3182-80:	md04fmp -> d0fyd0r	0.5 mL dulaglutide 9 mg/mL Auto-Injector [Trulicity] 	4.5 mg
80446-0401-01:	mkt0sar -> 65djvmj	0.5 mL tebentafusp-tebn 0.2 mg/mL Vial [Kimmtrak] 	0.1 mg
49281-0545-03:	mtjcpgp -> wyegy8t	0.5 mL Haemophilus influenzae type b strain 1482, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.068 mg/mL Vial [ActHIB] 	0.6 mL
58160-0818-11:	mtjcpgp -> yzb3pm8	0.5 mL Haemophilus influenzae type b strain 20752, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.07 mg/mL Vial [Hiberix] 	0.85 mL
49281-0605-01:	mtyb2cq -> 8kpsmmp	Dengue virus live antigen, CYD serotype 1 100000 UNT / dengue virus live antigen, CYD serotype 2 100000 UNT / dengue virus live antigen, CYD serotype 3 100000 UNT / dengue virus live antigen, CYD serotype 4 100000 UNT Vial [Dengvaxia] 	0.5 mL
00002-1484-80:	mzkgbpp -> 57h7nab	0.5 mL tirzepatide 15 mg/mL Auto-Injector [Mounjaro] 	7.5 mg
62935-0223-05:	n16ytf2 -> gkwherm	0.375 mL leuprolide acetate 60 mg/mL Prefilled Syringe [Eligard] 	0.38 mL
62935-0303-30:	n16ytf2 -> 6z6vdac	0.5 mL leuprolide acetate 60 mg/mL Prefilled Syringe [Eligard] 	0.5 mL
62935-0753-75:	n16ytf2 -> hfhxgwk	0.25 mL leuprolide acetate 30 mg/mL Prefilled Syringe [Eligard] 	0.25 mL
55513-0924-10:	n2gcd61 -> 21q0nge	0.5 mL filgrastim 0.6 mg/mL Prefilled Syringe [Neupogen] 	0.3 mg
55513-0924-91:	n2gcd61 -> 21q0nge	0.5 mL filgrastim 0.6 mg/mL Prefilled Syringe [Neupogen] 	0.3 mg
49281-0379-50:	n2vearc -> 8arwcmr	0.7 mL influenza A virus A/Darwin/9/2021 (H3N2) antigen 0.0857 mg/mL / influenza A virus A/Sydney/5/2021 (H1N1) antigen 0.0857 mg/mL / influenza B virus B/Michigan/01/2021 antigen 0.0857 mg/mL / influenza B virus B/Phuket/3073/2013 antigen 0.0857 mg/mL Prefilled Syringe [Fluzone Quadrivalent 2023 Southern Hemisphere] 	0.08; 0.08; 0.08; 0.08 mg; mg; mg; mg
44087-1150-01:	n8thz2y -> dphz24x	0.5 mL choriogonadotropin alfa 0.5 mg/mL Prefilled Syringe [Ovidrel] 	0.25 mg
44087-0022-03:	ndvzwd3 -> pvy856y	0.5 mL interferon beta-1a 0.044 mg/mL Prefilled Syringe [Rebif] 	0.02 mg
50458-0562-01:	nf82mb9 -> 863v8q0	0.75 mL paliperidone palmitate 156 mg/mL Prefilled Syringe [Invega] 	117 mg
00009-5182-01:	ngpgmxt -> keb46bk	0.5 mL alprostadil 0.04 mg/mL Prefilled Syringe [Caverject] 	0.02 mg
63539-0221-21:	ngpgmxt -> keb46bk	0.5 mL alprostadil 0.04 mg/mL Prefilled Syringe [Caverject] 	0.02 mg
00075-2912-01:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
00075-8022-10:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
00548-5606-00:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
00781-3298-68:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
00781-3612-68:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
00955-1012-10:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
11797-0762-06:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
16714-0056-10:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
60505-0796-00:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
60505-0796-04:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
63323-0609-90:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
63323-0609-98:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
63323-0655-99:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
68001-0462-42:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
70710-1762-06:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
71288-0411-81:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
71288-0437-92:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
71288-0437-94:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
81952-0132-28:	ngxkycs -> j8fsvc2	0.8 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox] 	120 mg
47426-0101-06:	nkkks9g -> 2enp9sp	0.4 mL granisetron 25 mg/mL Prefilled Syringe [Sustol] 	10 mg
50458-0561-01:	nx20af2 -> qepb2se	0.5 mL paliperidone palmitate 156 mg/mL Prefilled Syringe [Invega] 	78 mg
49281-0912-05:	nxpfhex -> 4d0gvqq	Sodium chloride 5.4 mg Vial [Diluent] 	5.4 mg
59627-0003-01:	p0tx3qc -> twc2206	0.5 mL interferon beta-1a 0.06 mg/mL Auto-Injector [Avonex] 	0.03 mg
13533-0131-01:	p1cwhkc -> rk4tpcr	0.5 mL diphtheria toxoid vaccine, inactivated 4 UNT/mL / tetanus toxoid vaccine, inactivated 4 UNT/mL Vial [Tdvax] 	2; 2 [LF]; [LF]
14362-0111-04:	p1cwhkc -> rk4tpcr	0.5 mL diphtheria toxoid vaccine, inactivated 4 UNT/mL / tetanus toxoid vaccine, inactivated 4 UNT/mL Vial [Tdvax] 	2; 2 [LF]; [LF]
76961-0101-01:	p2htda1 -> fteev7b	0.6 mL eflapegrastim-xnst 22 mg/mL Prefilled Syringe [Rolvedon] 	13.2 mg
71053-0595-01:	p9w3by6 -> px7hknn	0.7 mL midazolam 14.3 mg/mL Auto-Injector 	10 mg
00002-1457-80:	pgwffx1 -> kvr52zj	0.5 mL tirzepatide 30 mg/mL Auto-Injector [Mounjaro] 	15 mg
15054-1120-04:	pmqjqj7 -> 6p0mnqe	0.5 mL lanreotide 240 mg/mL Prefilled Syringe [Somatuline] 	120 mg
69097-0870-67:	pmqjqj7 -> 6p0mnqe	0.5 mL lanreotide 240 mg/mL Prefilled Syringe [Somatuline] 	120 mg
76282-0711-67:	pmqjqj7 -> 6p0mnqe	0.5 mL lanreotide 240 mg/mL Prefilled Syringe [Somatuline] 	120 mg
70114-0441-01:	pskqc0x -> wwxdcrd	0.05 mL ranibizumab-eqrn 10 mg/mL Vial [Cimerli] 	0.5 mg
00005-0100-02:	pt8gf62 -> 7v4g61b	0.5 mL Neisseria meningitidis serogroup B recombinant LP2086 A05 protein variant antigen 0.12 mg/mL / Neisseria meningitidis serogroup B recombinant LP2086 B01 protein variant antigen 0.12 mg/mL Prefilled Syringe [Trumenba] 	0.06; 0.06 mg; mg
00005-0100-05:	pt8gf62 -> 7v4g61b	0.5 mL Neisseria meningitidis serogroup B recombinant LP2086 A05 protein variant antigen 0.12 mg/mL / Neisseria meningitidis serogroup B recombinant LP2086 B01 protein variant antigen 0.12 mg/mL Prefilled Syringe [Trumenba] 	0.06; 0.06 mg; mg
00005-0100-10:	pt8gf62 -> 7v4g61b	0.5 mL Neisseria meningitidis serogroup B recombinant LP2086 A05 protein variant antigen 0.12 mg/mL / Neisseria meningitidis serogroup B recombinant LP2086 B01 protein variant antigen 0.12 mg/mL Prefilled Syringe [Trumenba] 	0.06; 0.06 mg; mg
00169-4524-14:	pv0nhdy -> ep344dc	0.75 mL semaglutide 3.2 mg/mL Auto-Injector [Wegovy] 	1.6 mg
59267-1404-02:	pwszmvt -> 64abw9y	0.3 mL SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.05 mg/mL / SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 OMICRON (BA.4/BA.5) 0.05 mg/mL Vial 	0.02; 0.02 mg; mg
00069-0220-02:	q1bb3q8 -> ehfgvb3	0.5 mL dalteparin sodium 25000 UNT/mL Prefilled Syringe [Fragmin] 	12500 [IU]
00069-0223-02:	q1bb3q8 -> 2y1b340	0.6 mL dalteparin sodium 25000 UNT/mL Prefilled Syringe [Fragmin] 	15000 [IU]
00069-0228-02:	q1bb3q8 -> qdyr8xn	0.72 mL dalteparin sodium 25000 UNT/mL Prefilled Syringe [Fragmin] 	18000 [IU]
00169-4525-14:	q493yxn -> 6bn759d	0.5 mL semaglutide 0.5 mg/mL Auto-Injector [Wegovy] 	0.25 mg
00169-4525-94:	q493yxn -> 6bn759d	0.5 mL semaglutide 0.5 mg/mL Auto-Injector [Wegovy] 	0.25 mg
50090-5824-00:	q493yxn -> 6bn759d	0.5 mL semaglutide 0.5 mg/mL Auto-Injector [Wegovy] 	0.25 mg
49502-0500-92:	q94gwep -> 7v1pmyh	NDA019430 0.3 mL epinephrine 1 mg/mL Auto-Injector [Epipen] 	0.3 mg
51662-1224-01:	q94gwep -> 7v1pmyh	NDA019430 0.3 mL epinephrine 1 mg/mL Auto-Injector [Epipen] 	0.3 mg
70518-1224-00:	q94gwep -> 7v1pmyh	NDA019430 0.3 mL epinephrine 1 mg/mL Auto-Injector [Epipen] 	0.3 mg
00002-1460-80:	q9vyrxn -> wrfmtma	0.5 mL tirzepatide 25 mg/mL Auto-Injector [Mounjaro] 	12.5 mg
60842-0002-02:	qb7mv6z -> znv864g	0.4 mL naloxone HCl 25 mg/mL Auto-Injector 	10 mg
49281-0405-65:	qdxyr7p -> 3s18yvz	Influenza a virus a/michigan/45/2015 x-275 (h1n1) antigen (formaldehyde inactivated), influenza a virus a/singapore/infimh-16-0019/2016 ivr-186 (h3n2) antigen (formaldehyde inactivated), and influenza b virus b/maryland/15/2016 bx-69a (a b/colorado/6/2017-like virus) antigen (formaldehyde inactivated) 0.06; 0.06; 0.06 mg; mg; mg Syringe [Fluzone High-Dose] 	0.06; 0.06; 0.06 mg; mg; mg
00409-1316-32:	qkgmfzp -> vf9edgg	Heparin sodium 5000 [USP'U] Cartridge 	5000 [USP'U]
00409-2721-01:	qkgmfzp -> p018anw	Heparin sodium 10000 [USP'U] Vial 	10000 [USP'U]
00641-0410-12:	qkgmfzp -> p018anw	Heparin sodium 10000 [USP'U] Vial 	10000 [USP'U]
25021-0403-01:	qkgmfzp -> p018anw	Heparin sodium 10000 [USP'U] Vial 	10000 [USP'U]
63323-0542-01:	qkgmfzp -> p018anw	Heparin sodium 10000 [USP'U] Vial 	10000 [USP'U]
63323-0542-13:	qkgmfzp -> p018anw	Heparin sodium 10000 [USP'U] Vial 	10000 [USP'U]
63739-0964-25:	qkgmfzp -> p018anw	Heparin sodium 10000 [USP'U] Vial 	10000 [USP'U]
67457-0602-99:	qkgmfzp -> p018anw	Heparin sodium 10000 [USP'U] Vial 	10000 [USP'U]
71288-0404-02:	qkgmfzp -> p018anw	Heparin sodium 10000 [USP'U] Vial 	10000 [USP'U]
71288-0424-96:	qkgmfzp -> p018anw	Heparin sodium 10000 [USP'U] Vial 	10000 [USP'U]
81952-0113-06:	qkgmfzp -> p018anw	Heparin sodium 10000 [USP'U] Vial 	10000 [USP'U]
00115-1695-30:	qrxdby6 -> h55h9gr	NDA020800 0.15 mL epinephrine 1 mg/mL Auto-Injector [Adrenaclick] 	0.15 mg
00115-1695-49:	qrxdby6 -> h55h9gr	NDA020800 0.15 mL epinephrine 1 mg/mL Auto-Injector [Adrenaclick] 	0.15 mg
51662-1222-01:	qrxdby6 -> h55h9gr	NDA020800 0.15 mL epinephrine 1 mg/mL Auto-Injector [Adrenaclick] 	0.15 mg
50242-0080-01:	qt6ng71 -> m6cwt6j	0.05 mL ranibizumab 10 mg/mL Prefilled Syringe [Lucentis] 	0.5 mg
50242-0080-02:	qt6ng71 -> m6cwt6j	0.05 mL ranibizumab 10 mg/mL Prefilled Syringe [Lucentis] 	0.5 mg
55513-0223-01:	qyrqyyn -> 6exka2s	Romiplostim 0.125 mg Vial [Nplate] 	0.12 mg
44087-3344-01:	rbac1vh -> b1f8gk2	0.5 mL interferon beta-1a 0.088 mg/mL Auto-Injector [Rebif] 	0.04 mg
58406-0010-96:	rf7scnm -> w7nxnrz	0.5 mL etanercept 50 mg/mL Prefilled Syringe [Enbrel] 	25 mg
15054-1060-04:	rm3vgga -> zpdh3vw	0.2 mL lanreotide 300 mg/mL Prefilled Syringe [Somatuline] 	60 mg
15054-1090-04:	rm3vgga -> c3amb2x	0.3 mL lanreotide 300 mg/mL Prefilled Syringe [Somatuline] 	90 mg
69097-0880-67:	rm3vgga -> zpdh3vw	0.2 mL lanreotide 300 mg/mL Prefilled Syringe [Somatuline] 	60 mg
69097-0890-67:	rm3vgga -> c3amb2x	0.3 mL lanreotide 300 mg/mL Prefilled Syringe [Somatuline] 	90 mg
76282-0709-67:	rm3vgga -> zpdh3vw	Lanreotide acetate 60 mg Syringe 	60 mg
76282-0710-67:	rm3vgga -> c3amb2x	Lanreotide acetate 90 mg Syringe 	90 mg
80064-0141-02:	rzcpgep -> 2pw7b7r	0.3 mL bremelanotide 5.83 mg/mL Auto-Injector [Vyleesi] 	1.75 mg
80064-0141-04:	rzcpgep -> 2pw7b7r	0.3 mL bremelanotide 5.83 mg/mL Auto-Injector [Vyleesi] 	1.75 mg
58160-0825-52:	s379xzt -> xwjywvj	0.5 mL hepatitis A vaccine (inactivated) strain HM175 1440 UNT/mL Prefilled Syringe [Havrix] 	720 [IU]
00006-4109-02:	shxgvr1 -> yrmyb1e	Human papillomavirus quadrivalent (types 6, 11, 16, and 18) vaccine, recombinant 0.04; 0.04; 0.02; 0.02 mg; mg; mg; mg Syringe [Gardasil] 	0.04; 0.04; 0.02; 0.02 mg; mg; mg; mg
00006-4109-09:	shxgvr1 -> yrmyb1e	Human papillomavirus quadrivalent (types 6, 11, 16, and 18) vaccine, recombinant 0.04; 0.04; 0.02; 0.02 mg; mg; mg; mg Syringe [Gardasil] 	0.04; 0.04; 0.02; 0.02 mg; mg; mg; mg
57894-0070-01:	sqqwmyp -> ytqrvsc	Golimumab 50 mg Syringe [Simponi] 	50 mg
57894-0070-02:	sqqwmyp -> ytqrvsc	Golimumab 50 mg Syringe [Simponi] 	50 mg
57894-0070-89:	sqqwmyp -> ytqrvsc	Golimumab 50 mg Syringe [Simponi] 	50 mg
57894-0070-90:	sqqwmyp -> ytqrvsc	Golimumab 50 mg Syringe [Simponi] 	50 mg
51662-1537-03:	sswyhpq -> 5v8srj2	0.5 mL vitamin K1 2 mg/mL Ampule 	1 mg
49281-0722-10:	stttx7n -> befakkj	Influenza a virus a/wisconsin/588/2019 (h1n1) recombinant hemagglutinin antigen, influenza a virus a/darwin/6/2021 (h3n2) recombinant hemagglutinin antigen, influenza b virus b/austria/1359417/2021 recombinant hemagglutinin antigen, and influenza b virus b/phuket/3073/2013 recombinant hemagglutinin antigen 0.04; 0.04; 0.04; 0.04 mg; mg; mg; mg Syringe [Flublok Quadrivalent Northern Hemisphere] 	0.04; 0.04; 0.04; 0.04 mg; mg; mg; mg
61314-0326-01:	t1pwjv2 -> 3zf2rvw	0.8 mL filgrastim-sndz 0.6 mg/mL Prefilled Syringe [Zarxio] 	0.48 mg
61314-0326-10:	t1pwjv2 -> 3zf2rvw	0.8 mL filgrastim-sndz 0.6 mg/mL Prefilled Syringe [Zarxio] 	0.48 mg
50632-0001-02:	t24wdy6 -> 7hwceaw	0.5 mL modified Vaccinia Ankara-Bavarian Nordic 198000000 UNT/mL Vial [Jynneos] 	50000000 nan
50632-0001-03:	t24wdy6 -> 7hwceaw	0.5 mL modified Vaccinia Ankara-Bavarian Nordic 198000000 UNT/mL Vial [Jynneos] 	50000000 nan
54436-0017-01:	t6qhh25 -> 32cvz1v	0.4 mL methotrexate 43.8 mg/mL Auto-Injector [Otrexup] 	17.5 mg
54436-0017-03:	t6qhh25 -> 32cvz1v	0.4 mL methotrexate 43.8 mg/mL Auto-Injector [Otrexup] 	17.5 mg
54436-0017-04:	t6qhh25 -> 32cvz1v	0.4 mL methotrexate 43.8 mg/mL Auto-Injector [Otrexup] 	17.5 mg
00069-0196-02:	t9886ej -> b0nq245	0.2 mL dalteparin sodium 25000 UNT/mL Prefilled Syringe [Fragmin] 	5000 [IU]
00069-0206-02:	t9886ej -> qhjpdhh	0.3 mL dalteparin sodium 25000 UNT/mL Prefilled Syringe [Fragmin] 	7500 [IU]
47335-0276-40:	tknpa0r -> 3cm9zae	Sumatriptan succinate 6 mg Syringe 	6 mg
11704-0104-01:	tq867wp -> w10hgz7	0.7 mL atropine sulfate 0.714 mg/mL Auto-Injector [Atropen] 	0.5 mg
61314-0866-01:	v529ktq -> cd7fke2	0.6 mL pegfilgrastim-bmez 10 mg/mL Prefilled Syringe [Ziextenzo] 	6 mg
49281-0590-05:	v7xqc1c -> e88k1z7	0.5 mL Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 mg/mL / Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 mg/mL / Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 mg/mL / Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 mg/mL Vial [Menquadfi] 	0.01; 0.01; 0.01; 0.01 mg; mg; mg; mg
50090-6180-00:	v7xqc1c -> e88k1z7	0.5 mL Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 mg/mL / Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 mg/mL / Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 mg/mL / Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 mg/mL Vial [Menquadfi] 	0.01; 0.01; 0.01; 0.01 mg; mg; mg; mg
50090-1831-00:	v9jrayh -> jnsyra1	Tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine, adsorbed 0.01; 0.0; 0.01; 5.0; 2.5 mg; mg; mg; [IU]; [IU] Vial [Boostrix] 	0.01; 0; 0.01; 5; 2.5 mg; mg; mg; [IU]; [IU]
58160-0842-11:	v9jrayh -> jnsyra1	Tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine, adsorbed 0.01; 0.0; 0.01; 5.0; 2.5 mg; mg; mg; [IU]; [IU] Vial [Boostrix] 	0.01; 0; 0.01; 5; 2.5 mg; mg; mg; [IU]; [IU]
72065-0140-11:	vajyysb -> cntf7tw	Glucagon (rDNA) 1 mg Carton [GlucaGen] 	1 mg
72065-0141-11:	vajyysb -> cntf7tw	Glucagon (rDNA) 1 mg Vial [GlucaGen] 	1 mg
11994-0017-01:	vgtxzre -> 1f8d6je	Perflutren 2.28 mg Vial [Definity Rt] 	2.28 mg
11994-0017-20:	vgtxzre -> 1f8d6je	Perflutren 2.28 mg Vial [Definity Rt] 	2.28 mg
49281-0400-05:	vhe3y04 -> s61ygk1	Clostridium tetani toxoid antigen (formaldehyde inactivated), corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated), bordetella pertussis toxoid antigen (glutaraldehyde inactivated), bordetella pertussis filamentous hemagglutinin antigen (formaldehyde inactivated), bordetella pertussis pertactin antigen, and bordetella pertussis fimbriae 2/3 antigen 0.01; 0.01; 0.0; 0.0; 5.0; 2 mg; mg; mg; mg; [LF]; [LF] Vial [Adacel] 	0.01; 0.01; 0; 0; 5; 2 mg; mg; mg; mg; [LF]; [LF]
49281-0400-10:	vhe3y04 -> s61ygk1	Clostridium tetani toxoid antigen (formaldehyde inactivated), corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated), bordetella pertussis toxoid antigen (glutaraldehyde inactivated), bordetella pertussis filamentous hemagglutinin antigen (formaldehyde inactivated), bordetella pertussis pertactin antigen, and bordetella pertussis fimbriae 2/3 antigen 0.01; 0.01; 0.0; 0.0; 5.0; 2 mg; mg; mg; mg; [LF]; [LF] Vial [Adacel] 	0.01; 0.01; 0; 0; 5; 2 mg; mg; mg; mg; [LF]; [LF]
78670-0130-02:	vj6pah1 -> 8xnmr65	0.3 mL epinephrine 1 mg/mL Prefilled Syringe [Symjepi] 	0.3 mg
