NDC,RXCUI,QUMI Code,Package Count,Supplier,Description,Dosage Form,Dosage Route,Strength,Measure,ANDA,Generic Description,DEA
50242-0215-86,2058946,2ar4xmx,1,"Genentech, Inc.",1 mL omalizumab 150 mg/mL Prefilled Syringe [Xolair],Prefilled Syringe,INJECTABLE,150,mg,BLA103976,OMALIZUMAB,
22840-9674-02,2101511,2ay0pxf,1,"Greer Laboratories, Inc.",Alternaria alternata allergenic extract 10000 UNT/mL / Aspergillus fumigatus allergenic extract 10000 UNT/mL Vial,Vial,INJECTABLE,100000; 100000,[PNU]; [PNU],BLA101833,ALTERNARIA ALTERNATA; ASPERGILLUS FUMIGATUS,
68803-0722-05,2268206,2b178g8,10,D.O.R.C. Dutch Ophthalmic Research Center (International) B.V.,Brilliant blue g 0.03 mg/mL Syringe [Tissueblue],Syringe,INJECTABLE,0.03,mg/mL,NDA209569,BRILLIANT BLUE G,
00005-2000-02,2566314,2b3mz95,1,Wyeth Pharmaceutical Division of Wyeth Holdings LLC,0.5 mL Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 10A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 11A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 12F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 15B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 22F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 33F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0088 mg/mL / Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 8 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL Prefilled Syringe [Prevnar 20],Prefilled Syringe,INJECTABLE,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0.01; 0; 0; 0,mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL,BLA125731,STREPTOCOCCUS PNEUMONIAE TYPE 1 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 10A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 11A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 12F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 14 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 15B CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 18C CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 19A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 19F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 22F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 23F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 3 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 33F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 4 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 5 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 6A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 6B CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 7F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 8 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 9V CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,
00005-2000-10,2566314,2b3mz95,10,Wyeth Pharmaceutical Division of Wyeth Holdings LLC,0.5 mL Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 10A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 11A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 12F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 15B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 22F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 33F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0088 mg/mL / Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 8 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL Prefilled Syringe [Prevnar 20],Prefilled Syringe,INJECTABLE,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0.01; 0; 0; 0,mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL,BLA125731,STREPTOCOCCUS PNEUMONIAE TYPE 1 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 10A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 11A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 12F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 14 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 15B CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 18C CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 19A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 19F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 22F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 23F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 3 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 33F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 4 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 5 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 6A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 6B CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 7F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 8 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 9V CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,
50090-6026-00,2566314,2b3mz95,10,A-S Medication Solutions,0.5 mL Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 10A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 11A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 12F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 15B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 22F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 33F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0088 mg/mL / Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 8 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL / Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 mg/mL Prefilled Syringe [Prevnar 20],Prefilled Syringe,INJECTABLE,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0.01; 0; 0; 0,mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL; mg/mL,BLA125731,STREPTOCOCCUS PNEUMONIAE TYPE 1 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 10A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 11A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 12F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 14 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 15B CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 18C CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 19A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 19F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 22F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 23F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 3 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 33F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 4 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 5 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 6A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 6B CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 7F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 8 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 9V CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,
00268-1259-50,852554,2b68r6f,1,"ALK-Abello, Inc.",Burweed marshelder pollen extract 50 mg/mL Vial,Vial,INJECTABLE,2500,mg,BLA103753,CYCLACHAENA XANTHIFOLIA POLLEN,
22840-5313-04,852554,2b68r6f,1,"Greer Laboratories, Inc.",Burweed marshelder pollen extract 50 mg/mL Vial,Vial,INJECTABLE,2500,mg,BLA101833,CYCLACHAENA XANTHIFOLIA POLLEN,
65044-6590-03,991865,2b9cy4p,1,Jubilant HollisterStier LLC,American cockroach allergenic extract 5000 UNT/mL / German cockroach allergenic extract 5000 UNT/mL Vial,Vial,INJECTABLE,150000; 150000,[PNU]; [PNU],BLA103888,BLATTELLA GERMANICA; PERIPLANETA AMERICANA,
00268-0725-06,1734886,2bxaqs7,1,"ALK-Abello, Inc.",Culix pipiens 55 mg Vial [Mosquito],Vial,INJECTABLE,55,mg,BLA103753,CULEX PIPIENS,
22840-5522-05,1014777,2bxky8d,1,"Greer Laboratories, Inc.",Cultivated rye grass pollen extract 50 mg/mL Bottle,Bottle,INJECTABLE,250,mg,BLA101833,SECALE CEREALE POLLEN,
50419-0344-10,862627,2c7smzh,10,Bayer HealthCare Pharmaceuticals Inc.,Iopromide 30000 mg Vial [Ultravist],Vial,INJECTABLE,30000,mg,NDA021425,IOPROMIDE,
50419-0344-43,862627,2c7smzh,10,Bayer HealthCare Pharmaceuticals Inc.,Iopromide 30000 mg Vial [Ultravist],Vial,INJECTABLE,30000,mg,NDA021425,IOPROMIDE,
50419-0344-91,862627,2c7smzh,10,Bayer HealthCare Pharmaceuticals Inc.,Iopromide 30000 mg Vial [Ultravist],Vial,INJECTABLE,30000,mg,NDA021425,IOPROMIDE,
00008-1179-01,722289,2cqwk28,1,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.",1.2 mL temsirolimus 25 mg/mL Vial [Torisel],Vial,INJECTABLE,1.8,mL,NDA022088,,
65219-0200-05,722289,2cqwk28,1,"Fresenius Kabi USA, LLC",1.2 mL temsirolimus 25 mg/mL Vial [Torisel],Vial,INJECTABLE,1.8,mL,ANDA207383,,
68083-0202-01,722289,2cqwk28,1,Gland Pharma Limited,1.2 mL temsirolimus 25 mg/mL Vial [Torisel],Vial,INJECTABLE,1.8,mL,ANDA207383,,
72611-0785-02,722289,2cqwk28,1,"Almaject, Inc.",1.2 mL temsirolimus 25 mg/mL Vial [Torisel],Vial,INJECTABLE,1.8,mL,ANDA207383,,
22840-5460-04,2632097,2d8jkmz,1,"Greer Laboratories, Inc.",Brazilian pepper tree pollen extract 12.5 mg/mL / Peruvian pepper tree pollen extract 12.5 mg/mL Vial,Vial,INJECTABLE,625; 625,mg; mg,BLA101833,SCHINUS MOLLE POLLEN; SCHINUS TEREBINTHIFOLIA POLLEN,
00268-1471-10,896259,2da9x3b,1,"ALK-Abello, Inc.",Common sagebrush pollen extract 100 mg/mL Vial,Vial,INJECTABLE,1000,mg,BLA103753,ARTEMISIA TRIDENTATA POLLEN,
22840-1349-02,896251,2da9x3b,1,"Greer Laboratories, Inc.",Dark leaved mugwort pollen extract 100 mg/mL Vial,Vial,INJECTABLE,1000,mg,BLA101833,ARTEMISIA LUDOVICIANA POLLEN,
22840-2311-02,896259,2da9x3b,1,"Greer Laboratories, Inc.",Common sagebrush pollen extract 100 mg/mL Vial,Vial,INJECTABLE,1000,mg,BLA101833,ARTEMISIA TRIDENTATA POLLEN,
22840-5784-05,891614,2dhawrp,1,"Greer Laboratories, Inc.",Coconut allergenic extract 50 mg/mL Bottle,Bottle,INJECTABLE,250,mg,BLA101833,COCONUT,
65044-9943-05,617247,2djfhj4,1,Jubilant HollisterStier LLC,Wasp venom protein 0.1 mg/mL Vial,Vial,INJECTABLE,0.55,mg,BLA103884,POLISTES SPP. VENOM PROTEIN,
00268-6701-06,867300,2dmjvg5,1,"ALK-Abello, Inc.",Plains cottonwood pollen extract 50 mg/mL Vial,Vial,INJECTABLE,250,mg,BLA103753,POPULUS DELTOIDES SUBSP. MONILIFERA POLLEN,
22840-5423-05,867300,2dmjvg5,1,"Greer Laboratories, Inc.",Plains cottonwood pollen extract 50 mg/mL Bottle,Bottle,INJECTABLE,250,mg,BLA101833,POPULUS DELTOIDES SUBSP. MONILIFERA POLLEN,
00268-6127-06,891628,2dr2rmf,1,"ALK-Abello, Inc.",Coconut allergenic extract 100 mg/mL Vial,Vial,INJECTABLE,500,mg,BLA103753,COCONUT,
00019-1332-00,849881,2dz36s8,20,Liebel-Flarsheim Company LLC,Ioversol 63600 mg Syringe [Optiray],Syringe,INJECTABLE,63600,mg,NDA019710,IOVERSOL,
00019-1332-83,849881,2dz36s8,20,Liebel-Flarsheim Company LLC,Ioversol 63600 mg Syringe [Optiray],Syringe,INJECTABLE,63600,mg,NDA019710,IOVERSOL,
00019-1332-90,849881,2dz36s8,20,Liebel-Flarsheim Company LLC,Ioversol 63600 mg Syringe [Optiray],Syringe,INJECTABLE,63600,mg,NDA019710,IOVERSOL,
22840-5315-05,896249,2e39pab,1,"Greer Laboratories, Inc.",Dark leaved mugwort pollen extract 50 mg/mL Bottle,Bottle,INJECTABLE,250,mg,BLA101833,ARTEMISIA LUDOVICIANA POLLEN,
70121-2537-06,545835,2eckssz,1,Amneal Pharmaceuticals LLC,Leuprolide acetate 5 mg/mL Vial [Lupron],Vial,INJECTABLE,2.8,mL,ANDA215336,,
00268-6104-06,895587,2ekkvgs,1,"ALK-Abello, Inc.",Avocado allergenic extract 100 mg/mL Vial,Vial,INJECTABLE,500,mg,BLA103753,AVOCADO,
64253-0020-30,2467748,2f9bkmt,60,"Medefil, Inc.",Sterile water for injection 10 mL Syringe [Sterile Water],Syringe,INJECTABLE,10,mL,ANDA211188,WATER,
64253-0020-91,2467748,2f9bkmt,10,"Medefil, Inc.",Sterile water for injection 10 mL Syringe [Sterile Water],Syringe,INJECTABLE,10,mL,ANDA211188,WATER,
65219-0387-10,801109,2f9pqh9,10,"Fresenius Kabi USA, LLC",Magnesium chloride 0.00148 mEq/mL / potassium chloride 0.00497 mEq/mL / sodium acetate 0.027 mEq/mL / sodium chloride 0.0899 mEq/mL / sodium gluconate 5.02 mg/mL Bag [Plasmalyte A],Bag,INJECTABLE,300; 370; 3680; 5260; 5020,mg; mg; mg; mg; mg,ANDA215370,MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE,
65219-0389-10,801109,2f9pqh9,10,"Fresenius Kabi USA, LLC",Magnesium chloride 0.00148 mEq/mL / potassium chloride 0.00497 mEq/mL / sodium acetate 0.027 mEq/mL / sodium chloride 0.0899 mEq/mL / sodium gluconate 5.02 mg/mL Bag [Plasmalyte A],Bag,INJECTABLE,300; 370; 3680; 5260; 5020,mg; mg; mg; mg; mg,ANDA215371,MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE,
00078-0393-61,1656643,2fdx50b,1,Novartis Pharmaceuticals Corporation,Basiliximab 10 mg Vial [Simulect],Vial,INJECTABLE,10,mg,BLA103764,BASILIXIMAB,
69794-0001-01,1989823,2fegtt5,1,Ultragenyx Pharmaceutical Inc.,5 mL vestronidase alfa-vjbk 2 mg/mL Vial [Mepsevii],Vial,INJECTABLE,10,mg,BLA761047,VESTRONIDASE ALFA,
68516-5214-05,1741406,2fff71p,1,"GRIFOLS USA, LLC","Albumin human, USP 50 mg/mL Vial [Albutein]",Vial,INJECTABLE,2500,mg,BLA102478,ALBUMIN HUMAN,
00268-6208-06,901342,2fh5d08,1,"ALK-Abello, Inc.",Rice allergenic extract 100 mg/mL Vial,Vial,INJECTABLE,500,mg,BLA103753,WHITE RICE,
22840-0040-06,1192764,2fn185j,1,"Greer Laboratories, Inc.",American house dust mite allergenic extract 15000 AU/mL / European house dust mite allergenic extract 15000 AU/mL Vial,Vial,INJECTABLE,150000; 150000,[AU]; [AU],BLA101834,DERMATOPHAGOIDES FARINAE; DERMATOPHAGOIDES PTERONYSSINUS,
65044-6690-02,1192764,2fn185j,1,Jubilant HollisterStier LLC,American house dust mite allergenic extract 15000 AU/mL / European house dust mite allergenic extract 15000 AU/mL Vial,Vial,INJECTABLE,150000; 150000,[AU]; [AU],BLA103870,DERMATOPHAGOIDES FARINAE; DERMATOPHAGOIDES PTERONYSSINUS,
00143-9531-01,1791598,2fw40d6,1,Hikma Pharmaceuticals USA Inc.,Ifosfamide 50 mg/mL Vial,Vial,INJECTABLE,1000,mg,ANDA076619,IFOSFAMIDE,
00338-3991-01,1791593,2fw40d6,1,Baxter Healthcare Corporation,Ifosfamide 1000 mg Vial [Ifex],Vial,INJECTABLE,1000,mg,NDA019763,IFOSFAMIDE,
10019-0925-01,1791593,2fw40d6,1,Baxter Healthcare Corporation,Ifosfamide 1000 mg Vial [Ifex],Vial,INJECTABLE,1000,mg,NDA019763,IFOSFAMIDE,
